Titre,Artistes
Can't Hold Us (feat. Ray Dalton),"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton"
Memories (feat. Kid Cudi) - 2021 Remix,"David Guetta, Kid Cudi"
"Freed From Desire - prod. Molella, Phil Jay","Gala, Molella, Phil Jay"
Danza Kuduro,"Don Omar, Lucenzo"
I Follow Rivers - The Magician Remix,"Lykke Li, The Magician"
Emorio,"Trinix, Fafá de Belém"
Espresso,Sabrina Carpenter
Substitution (Feat. Julian Perretta),"Purple Disco Machine, Kungs, Julian Perretta"
How Deep Is Your Love,"Calvin Harris, Disciples"
Si Antes Te Hubiera Conocido,KAROL G
Only Girl (In The World),Rihanna
Head Shoulders Knees & Toes (feat. Norma Jean Martine),"Ofenbach, Quarterhead, Norma Jean Martine"
Uptown Funk (feat. Bruno Mars),"Mark Ronson, Bruno Mars"
SPIDER,"GIMS, DYSTINCT"
Mi Gente,"J Balvin, Willy William"
Pepas,Farruko
Shake It Off,Taylor Swift
I Don't Wanna Wait,"David Guetta, OneRepublic"
Fever,"Dua Lipa, Angèle"
DESPECHÁ,ROSALÍA
Intoxicated - Radio Edit,"Martin Solveig, Good Times Ahead"
Murder On The Dancefloor,Sophie Ellis-Bextor
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake, Selena Gomez, Ozuna, Cardi B"
greedy,Tate McRae
On My Love,"Zara Larsson, David Guetta"
TQG,"KAROL G, Shakira"
Light It Up (feat. Nyla & Fuse ODG) [Remix],"Major Lazer, Nyla, Fuse ODG"
Trompeta,Willy William
Baianá,Bakermat
Gata Only,"FloyyMenor, Cris MJ"
Calm Down (with Selena Gomez),"Rema, Selena Gomez"
TEXAS HOLD 'EM,Beyoncé
Overdrive (feat. Norma Jean Martine),"Ofenbach, Norma Jean Martine"
Feel It Still,Portugal. The Man
I'm Good (Blue),"David Guetta, Bebe Rexha"
We Found Love,"Rihanna, Calvin Harris"
Where Are You Now,"Lost Frequencies, Calum Scott"
Dance The Night,Dua Lipa
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras"
Beggin',Måneskin
Shape of You,Ed Sheeran
Bailar contigo,"Black Eyed Peas, Daddy Yankee"
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa"
The Magic Key,"Trinix, One-T"
Heal Tomorrow,"Naive New Beaters, Izïa"
Superstar,Jamelia
Don't Stop The Music,Rihanna
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],"Daft Punk, Pharrell Williams, Nile Rodgers"
Blurred Lines,"Robin Thicke, T.I., Pharrell Williams"
This Girl (Kungs Vs. Cookin' On 3 Burners),"Kungs, Cookin' On 3 Burners"
bad guy,Billie Eilish
Alors On Danse - Radio Edit,Stromae
Lean On (feat. MØ & DJ Snake),"Major Lazer, MØ, DJ Snake"
One More Time,Daft Punk
Feel Good Inc.,"Gorillaz, De La Soul"
Survivor,Destiny's Child
Dancin (feat. Luvli) - Krono Remix,"Aaron Smith, Krono, Luvli"
Replay,Iyaz
Fireflies,Owl City
Summer 91,Noizu
Lady - Hear Me Tonight,Modjo
The Less I Know The Better,Tame Impala
(It Goes Like) Nanana - Edit,Peggy Gou
Kids,MGMT
Out of Touch,Daryl Hall & John Oates
Cooler Than Me - Single Mix,"Mike Posner, Gigamesh"
Roses - Imanbek Remix,"SAINt JHN, Imanbek"
Little Things x Gypsy Woman - L BEATS MASHUP,Jorja Smith
And the Beat Goes On,The Whispers
